Date,Time,Open,High,Low,Close,Volume
2023/8/28,12:18:00,341,341,341,341,5
2023/8/28,12:19:00,341,341,341,341,1
2023/8/28,12:20:00,341,341,341,341,7
2023/8/28,12:21:00,341,341,341,341,0
2023/8/28,12:22:00,341,341.5,341,341,8
2023/8/28,12:23:00,341,341.5,341,341.5,16
2023/8/28,12:24:00,341,341,341,341,3
2023/8/28,12:25:00,341,341,341,341,2
2023/8/28,12:26:00,341,341.5,341,341.5,27
2023/8/28,12:27:00,341,341,341,341,3
2023/8/28,12:28:00,341,341,341,341,1
2023/8/28,12:29:00,341,341,341,341,1
2023/8/28,12:30:00,341.5,341.5,341,341.5,8
2023/8/28,12:31:00,341.5,341.5,341.5,341.5,1
2023/8/28,12:32:00,341,341.5,341,341,17
2023/8/28,12:33:00,341,341,341,341,1
2023/8/28,12:34:00,341.5,341.5,341,341,41
2023/8/28,12:35:00,341.5,342,341.5,341.5,16
2023/8/28,12:36:00,341.5,341.5,341.5,341.5,0
2023/8/28,12:37:00,342,342,342,342,20
2023/8/28,12:38:00,342,342,341.5,341.5,7
2023/8/28,12:39:00,341.5,342,341.5,342,2
2023/8/28,12:40:00,342,342,342,342,1
2023/8/28,12:41:00,341.5,342,341.5,342,8
2023/8/28,12:42:00,342,342,342,342,3
2023/8/28,12:43:00,342,342,341.5,341.5,16
2023/8/28,12:44:00,341.5,341.5,341.5,341.5,1
2023/8/28,12:45:00,342.5,342.5,342,342,2
2023/8/28,12:46:00,342,342,342,342,7
2023/8/28,12:47:00,342.5,342.5,342,342,23
2023/8/28,12:48:00,341.5,342,341.5,342,2
2023/8/28,12:49:00,341.5,342,341.5,342,2
2023/8/28,12:50:00,342,342,342,342,4
2023/8/28,12:51:00,342,342.5,342,342,12
2023/8/28,12:52:00,342,342,342,342,7
2023/8/28,12:53:00,342,342,342,342,4
2023/8/28,12:54:00,342,342,341.5,342,9
2023/8/28,12:55:00,342.5,342.5,342,342,19
2023/8/28,12:56:00,342,342,342,342,18
2023/8/28,12:57:00,342.5,342.5,342.5,342.5,1
2023/8/28,12:58:00,342.5,342.5,342,342,13
2023/8/28,12:59:00,342.5,342.5,341.5,342,34
2023/8/28,13:00:00,341.5,341.5,341,341,11
2023/8/28,13:01:00,341.5,341.5,341.5,341.5,2
2023/8/28,13:02:00,341.5,341.5,341.5,341.5,7
2023/8/28,13:03:00,341.5,341.5,341,341.5,14
2023/8/28,13:04:00,341,341.5,341,341,6
2023/8/28,13:05:00,341,341,341,341,0
2023/8/28,13:06:00,341.5,342,341,342,36
2023/8/28,13:07:00,341.5,342,341,341,7
2023/8/28,13:08:00,341.5,341.5,341,341.5,5
2023/8/28,13:09:00,341.5,341.5,341,341,24
2023/8/28,13:10:00,341.5,341.5,341.5,341.5,3
2023/8/28,13:11:00,341,341.5,341,341,6
2023/8/28,13:12:00,341.5,342,341.5,341.5,7
2023/8/28,13:13:00,342,342,342,342,5
2023/8/28,13:14:00,342,342,341.5,342,18
2023/8/28,13:15:00,342,342,341.5,341.5,19
2023/8/28,13:16:00,341.5,341.5,341.5,341.5,6
2023/8/28,13:17:00,342,342,341.5,341.5,12
2023/8/28,13:18:00,342,342,341.5,341.5,7
2023/8/28,13:19:00,342,342,341.5,341.5,22
2023/8/28,13:20:00,342,342,341.5,341.5,13
2023/8/28,13:21:00,341.5,342,341.5,341.5,35
2023/8/28,13:22:00,341.5,342,341,342,55
2023/8/28,13:23:00,341.5,342,341,341.5,9
2023/8/28,13:24:00,341,342,341,342,24
2023/8/28,13:25:00,342,342,342,342,0
2023/8/28,13:26:00,342,342,342,342,0
2023/8/28,13:27:00,342,342,342,342,0
2023/8/28,13:28:00,342,342,342,342,0
